EN-CM      DATA       ERR-T
MEV        B          B
      0.279    6.1E-11    3.7E-11
      0.297    1.4E-10     8.E-11
      0.301    1.7E-10     8.E-11
      0.305    1.9E-10    9.3E-11
      0.308    2.2E-10     1.E-10
      0.312    3.3E-10    1.1E-10
      0.317    3.6E-10    1.2E-10
       0.32    3.9E-10    1.4E-10
      0.328    4.9E-10    1.4E-10
      0.334    7.2E-10     2.E-10
      0.342    1.1E-09    2.2E-10
       0.35    1.6E-09    3.8E-10
      0.357    2.2E-09    4.4E-10
      0.365     3.E-09     6.E-10
      0.373    4.1E-09    7.7E-10
       0.38    5.5E-09    9.4E-10
      0.388    7.7E-09    1.3E-09
      0.403    1.4E-08    1.9E-09
      0.418    2.4E-08    2.9E-09
      0.433    3.9E-08    4.7E-09
      0.448     7.E-08    8.4E-09
      0.486    2.4E-07    2.4E-08
      0.524    7.1E-07    7.1E-08
      0.562    2.2E-06     2.E-07
        0.6    5.8E-06    5.2E-07
      0.638    1.4E-05    1.2E-06
      0.676    3.3E-05     3.E-06
      0.714    7.4E-05    6.7E-06
       0.76    0.00017    1.5E-05
      0.789    0.00028    2.5E-05
      0.796    0.00034    3.1E-05
        0.8     0.0004    3.6E-05
      0.804    0.00087    7.8E-05
      0.808      0.002    0.00018
      0.812     0.0021    0.00019
      0.815      0.002    0.00018
      0.819     0.0016    0.00014
      0.823     0.0011    9.5E-05
      0.827    0.00062    5.6E-05
      0.831    0.00058    5.2E-05
      0.835    0.00058    5.2E-05
      0.872    0.00079    7.1E-05
       0.91    0.00098    8.9E-05
      0.955     0.0011     0.0001
      1.001     0.0013    0.00012
      1.009     0.0014    0.00012
      1.017     0.0015    0.00014
       1.02     0.0043    0.00039
      1.024     0.0058    0.00052
      1.028     0.0059    0.00053
      1.032     0.0052    0.00047
      1.036     0.0031    0.00028
       1.04     0.0018    0.00016
      1.047     0.0015    0.00013
      1.062     0.0015    0.00013
